Date,Close/Last,Open,High,Low
02/22/2024,5087.03,5038.83,5094.39,5038.83
02/21/2024,4981.80,4963.03,4983.21,4946.00
02/20/2024,4975.51,4989.32,4993.71,4955.02
02/16/2024,5005.57,5031.13,5038.70,4999.52
02/15/2024,5029.73,5003.14,5032.72,4999.44
02/14/2024,5000.62,4976.44,5002.52,4956.45
02/13/2024,4953.17,4967.94,4971.30,4920.31
02/12/2024,5021.84,5026.83,5048.39,5016.83
02/09/2024,5026.61,5004.17,5030.06,5000.34
02/08/2024,4997.91,4995.16,5000.40,4987.09
02/07/2024,4995.06,4973.05,4999.89,4969.05
02/06/2024,4954.23,4950.16,4957.77,4934.88
02/05/2024,4942.81,4957.19,4957.19,4918.09
02/02/2024,4958.61,4916.06,4975.29,4907.99
02/01/2024,4906.19,4861.11,4906.97,4853.52
01/31/2024,4845.65,4899.19,4906.75,4845.15
01/30/2024,4924.97,4925.89,4931.09,4916.27
01/29/2024,4927.93,4892.95,4929.31,4887.40
01/26/2024,4890.97,4888.91,4906.69,4881.47
01/25/2024,4894.16,4886.66,4898.15,4869.34
01/24/2024,4868.55,4888.56,4903.68,4865.94
01/23/2024,4864.60,4856.80,4866.48,4844.37
01/22/2024,4850.43,4853.42,4868.41,4844.05
01/19/2024,4839.81,4796.28,4842.07,4785.87
01/18/2024,4780.94,4760.10,4785.79,4740.57
01/17/2024,4739.21,4739.13,4744.23,4714.82
01/16/2024,4765.98,4772.35,4782.34,4747.12
01/12/2024,4783.83,4791.18,4802.40,4768.98
01/11/2024,4780.24,4792.13,4798.50,4739.58
01/10/2024,4783.45,4759.94,4790.80,4756.20
01/09/2024,4756.50,4741.93,4765.47,4730.35
01/08/2024,4763.54,4703.70,4764.54,4699.82
01/05/2024,4697.24,4690.57,4721.49,4682.11
01/04/2024,4688.68,4697.42,4726.78,4687.53
01/03/2024,4704.81,4725.07,4729.29,4699.71
01/02/2024,4742.83,4745.20,4754.33,4722.67
12/29/2023,4769.83,4782.88,4788.43,4751.99
12/28/2023,4783.35,4786.44,4793.30,4780.98
12/27/2023,4781.58,4773.45,4785.39,4768.90
12/26/2023,4774.75,4758.86,4784.72,4758.45
12/22/2023,4754.63,4753.92,4772.94,4736.77
12/21/2023,4746.75,4724.29,4748.71,4708.35
12/20/2023,4698.35,4764.73,4778.01,4697.82
12/19/2023,4768.37,4743.72,4768.69,4743.72
12/18/2023,4740.56,4725.58,4749.52,4725.58
12/15/2023,4719.19,4714.23,4725.53,4704.69
12/14/2023,4719.55,4721.04,4738.57,4694.34
12/13/2023,4707.09,4646.20,4709.69,4643.23
12/12/2023,4643.70,4618.30,4643.93,4608.09
12/11/2023,4622.44,4593.39,4623.71,4593.39
12/08/2023,4604.37,4576.20,4609.23,4574.06
12/07/2023,4585.59,4568.84,4590.92,4565.22
12/06/2023,4549.34,4586.23,4590.74,4546.50
12/05/2023,4567.18,4557.25,4578.56,4551.68
12/04/2023,4569.78,4564.37,4572.37,4546.72
12/01/2023,4594.63,4559.43,4599.39,4554.71
11/30/2023,4567.80,4554.87,4569.89,4537.24
11/29/2023,4550.58,4571.84,4587.64,4547.15
11/28/2023,4554.89,4545.55,4568.14,4540.51
11/27/2023,4550.43,4554.86,4560.52,4546.32
11/24/2023,4559.34,4555.84,4560.31,4552.80
11/22/2023,4556.62,4553.04,4568.43,4545.05
